planet_radius,planet_mass,orbital_period,semi_major_axis,equilibrium_temp,planet_density,star_temp,star_luminosity,star_metallicity,star_type,habitability_score,stellar_compatibility,orbital_stability,star_class_B,star_class_D,star_class_F,star_class_G,star_class_K,star_class_L,star_class_M,star_class_T,star_class_W,star_class_m,habitable
1.856,192.60498,0.736543,0.1008,797.0,1.31,5272.0,-0.082525,0.37,G0 V,0.201161246840775,0.5474558670820353,0.002737749919505361,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,0.7365478,0.015439,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.15116693314037713,0.5451713395638629,0.0027377499554826798,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,0.736546,0.016,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.15120967741935484,0.5397715472481828,0.002737749941991185,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,0.7365417,0.1008,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.15796124684077503,0.5828141225337488,0.0027377499097615042,0,0,0,1,0,0,0,0,0,0,0
2.173,192.60498,0.736546,0.01583,797.0,4.5,5250.0,-0.19695,0.35,G0 V,0.15119672205506585,0.5451713395638629,0.002737749941991185,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,0.7365445,0.01583,797.0,1.31,5317.89,-0.082525,0.3833,G0 V,0.15119672205506585,0.552221183800623,0.002737749930748273,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,0.73654604,0.1008,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.15796124684077503,0.5828141225337488,0.0027377499422909964,0,0,0,1,0,0,0,0,0,0,0
2.08,192.60498,0.7365437,0.01544,797.0,4.78,5234.0,-0.082525,0.31,G0 V,0.15116700931188778,0.543509865005192,0.002737749924752054,0,0,0,1,0,0,0,0,0,0,0
1.897,192.60498,0.737,0.1008,797.0,6.25,5172.0,-0.082525,0.35,G0 V,0.18886124684077502,0.5370716510903426,0.002737753344850149,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,10.3392924,0.1008,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.15796124684077503,0.5451713395638629,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
1.92,192.60498,10.3392924,0.01544,797.0,6.3,5250.0,-0.19695,0.35,G0 V,0.1751670093118878,0.5451713395638629,0.0028116684768132085,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,0.7365515,0.015690907,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.15118612370335996,0.5828141225337488,0.002737749983215197,0,0,0,1,0,0,0,0,0,0,0
2.0,192.60498,0.73654,0.01583,797.0,5.9,5612.5,-0.082525,-0.002,G8 V,0.15119672205506585,0.5828141225337488,0.0027377498970195375,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,259.88,0.7708,797.0,1.31,5172.0,-0.082525,0.35,G0 V,0.24406117800195248,0.5370716510903426,0.009423294383716547,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,260.0,0.781,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.24610336341263334,0.5451713395638629,0.009433962264150943,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,260.7,0.775,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.24489795918367344,0.5451713395638629,0.00949667616334283,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,262.0,0.788,797.0,1.31,5612.5,-0.082525,-0.002,G0 V,0.24752475247524752,0.5828141225337488,0.009615384615384616,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,261.2,0.77,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.24390243902439024,0.5451713395638629,0.009541984732824426,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,260.58,0.802,797.0,1.31,5198.0,-0.082525,0.39,G8 V,0.25041736227045075,0.5397715472481828,0.009485866059571238,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,260.91,0.7733,797.0,1.31,5250.0,-0.19695,0.35,G0 V,0.24455857177794077,0.5451713395638629,0.009515653249595586,0,0,0,1,0,0,0,0,0,0,0
2.3,192.60498,260.98,0.792,797.0,1.31,5317.89,-0.082525,0.3833,G0 V,0.24834437086092714,0.552221183800623,0.009521995810321844,0,0,0,1,0,0,0,0,0,0,0
