pl_rade,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitability_score,stellar_compatibility,orbital_stability,star_F,star_G,star_K,target,habitability_rank
1.24,0.88184263,0.0171,1315.5,1.3275,5268.0,-0.0833349999999999,-0.06,0.6225591206937694,0.4625162250615956,0.2535253529358733,False,True,False,0,152
1.19,0.974868926,1.0,288.0,1.3275,5468.0,-0.0833349999999999,-0.04,0.6208267744896672,0.4631454685221829,0.5013697687020312,False,True,False,1,153
1.3643987,2.849883,1.0,288.0,1.3275,5233.0,-0.0833349999999999,-0.04,0.6186685021294557,0.4624535023961332,0.5013768410819485,False,True,False,1,154
1.29,4.48487493,1.0,288.0,1.3275,5902.0,-0.0833349999999999,0.04,0.6177934381803493,0.4655377514803823,0.501383067997233,False,True,False,1,155
1.08,5.19556758,1.0,288.0,1.3275,5755.0,-0.0833349999999999,0.03,0.6177568226767918,0.4823710848137156,0.501385792288211,False,True,False,1,156
1.25,2.92721559,1.0,288.0,1.3275,5650.0,-0.0833349999999999,-0.01,0.6177262415173288,0.4654137204726304,0.5013771343418442,False,True,False,1,157
1.53,0.538354308,1.0,288.0,1.3275,5948.0,-0.0833349999999999,0.01,0.6168253660856058,0.4644617280885694,0.5013681326232011,False,True,False,1,158
1.61,0.962867382,1.0,288.0,1.3275,5488.0,-0.0833349999999999,-0.07,0.6148612370757309,0.4632559645388016,0.5013697236673268,False,True,False,1,159
1.28,0.881841146,0.0171,1315.5,1.3275,5260.0,-0.0833349999999999,-0.06,0.614645926131412,0.4625011426171839,0.2535253529303074,False,True,False,0,160
1.671,10.39990194,1.0,288.0,1.3275,3915.0,-0.0833349999999999,0.0168,0.6140652230690965,0.46180599182373,0.501406073852982,False,False,True,1,161
1.176,10.39990194,1.0,288.0,1.3275,3915.0,-0.0833349999999999,0.0168,0.6140652230690965,0.46180599182373,0.501406073852982,False,False,True,1,162
1.5,2.56659092,1.0,288.0,1.3275,5630.0,-0.0833349999999999,-0.03,0.6136214329752631,0.4648934561783689,0.5013757678504728,False,True,False,1,163
1.77,3.222969273,1.0,288.0,1.3275,5928.0,-0.0833349999999999,0.04,0.6126269189491255,0.464849009758528,0.5013782570495106,False,True,False,1,164
1.172,10.39990194,1.0,288.0,1.3275,3909.0,-0.0833349999999999,0.0168,0.6116138038117248,0.4618051311595267,0.501406073852982,False,False,True,1,165
1.727,10.39990194,1.0,288.0,1.3275,3909.0,-0.0833349999999999,0.0168,0.6116138038117248,0.4618051311595267,0.501406073852982,False,False,True,1,166
0.9699999999999998,2.12823928,1.0,288.0,1.3275,6086.0,-0.0833349999999999,0.03,0.6098687465711371,0.4631558744577286,0.5013741104806008,True,False,False,1,167
