pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum
"K2-220 b",2.39000000,,13.68325600000,758.00,,5660.00,1.020000,0.960000,
"K2-220 b",2.21473364,,13.68251100000,,,5599.00,0.929546,0.959636,
"K2-220 b",2.37000000,,13.68186000000,761.00,,5612.00,1.026000,0.910000,
"K2-220 b",2.30000000,,13.68303800000,,,,0.990000,,
"K2-216 b",1.75000000,8.00000000,2.17480000000,1103.00,8.200000,4503.00,0.720000,0.700000,-0.72125
"K2-216 b",1.79105000,,2.17478240000,1013.00,,4542.00,0.710000,,
"K2-216 b",1.67844825,,2.17478900000,,,4591.00,0.665648,0.699496,
"K2-216 b",1.63000000,,2.17482900000,,,,0.638000,,
"K2-216 b",1.63000000,,2.17478200000,992.00,,4658.00,0.690000,0.740000,
"K2-216 b",1.66000000,6.10000000,2.17478900000,967.00,7.000000,4495.00,0.699000,0.720000,
"K2-216 b",1.70000000,,2.17476900000,,,,0.710000,,
"K2-212 b",2.39257704,,9.79540000000,,,4349.00,0.598075,0.621928,
"K2-212 b",2.65000000,,9.79564700000,,,4349.00,0.678000,0.622000,
"K2-212 b",2.60000000,,9.79554600000,,,,0.670000,,
"K2-212 b",2.82375991,,9.79565352601,552.14,,4147.00,0.706632,,
"K2-212 b",2.57000000,,9.79546000000,,,,0.648000,,
"K2-212 b",2.52000000,,9.79551000000,542.00,,4272.00,0.650000,0.670000,
"Kepler-166 c",,,34.25954112220,,,5230.00,0.781826,0.890000,-0.38508
"Kepler-166 c",2.70000000,,34.26062000000,475.00,,5432.00,0.780000,0.879000,
